"","date","type","planned_or_outtrun","budget_type","cash_values","real_values","deflator_index"
"93",2015,"fyear","outtrun","pensions",0,0,1.37174241288593
"94",2015,"fyear","outtrun","nics",0,0,1.37174241288593
"95",2015,"fyear","outtrun","adjustments",0,0,1.37174241288593
"96",2015,"fyear","outtrun","other_rdel",12020,16488.3438028888,1.37174241288593
"97",2015,"fyear","outtrun","dhsc_rdel_less_pensions",112592,154447.221751652,1.37174241288593
"98",2015,"fyear","outtrun","nhse_rdel_less_pensions",100572,137958.877948763,1.37174241288593
"99",2015,"fyear","outtrun","dhsc_tdel_less_pensions",117245,160829.93919881,1.37174241288593
"100",2014,"fyear","outtrun","dhsc_tdel",113345,156559.532831336,1.38126545353863
"101",2014,"fyear","outtrun","cdel",4971,6866.27056954051,1.38126545353863
"102",2014,"fyear","outtrun","dhsc_rdel",108373,149691.880996341,1.38126545353863
"103",2014,"fyear","outtrun","nhse_rdel",97098,134118.113007693,1.38126545353863
"104",2014,"fyear","outtrun","pensions",0,0,1.38126545353863
"105",2014,"fyear","outtrun","nics",0,0,1.38126545353863
"106",2014,"fyear","outtrun","adjustments",0,0,1.38126545353863
"107",2014,"fyear","outtrun","other_rdel",11275,15573.767988648,1.38126545353863
"108",2014,"fyear","outtrun","dhsc_rdel_less_pensions",108373,149691.880996341,1.38126545353863
"109",2014,"fyear","outtrun","nhse_rdel_less_pensions",97098,134118.113007693,1.38126545353863
"110",2014,"fyear","outtrun","dhsc_tdel_less_pensions",113345,156559.532831336,1.38126545353863
"111",2013,"fyear","outtrun","dhsc_tdel",109775,153771.749920612,1.40079025206661
"112",2013,"fyear","outtrun","cdel",5367,7518.04128284149,1.40079025206661
"113",2013,"fyear","outtrun","dhsc_rdel",104408,146253.708637771,1.40079025206661
"114",2013,"fyear","outtrun","nhse_rdel",93696,131248.443457633,1.40079025206661
"115",2013,"fyear","outtrun","pensions",0,0,1.40079025206661
"116",2013,"fyear","outtrun","nics",0,0,1.40079025206661
"117",2013,"fyear","outtrun","adjustments",0,0,1.40079025206661
"118",2013,"fyear","outtrun","other_rdel",10712,15005.2651801375,1.40079025206661
"119",2013,"fyear","outtrun","dhsc_rdel_less_pensions",104408,146253.708637771,1.40079025206661
"120",2013,"fyear","outtrun","nhse_rdel_less_pensions",93696,131248.443457633,1.40079025206661
"121",2013,"fyear","outtrun","dhsc_tdel_less_pensions",109775,153771.749920612,1.40079025206661
"122",2024,"fyear","planned","dhsc_tdel",204800,210217.834788115,1.02645427142634
"123",2024,"fyear","planned","cdel",11600,11906.8695485456,1.02645427142634
"124",2024,"fyear","planned","dhsc_rdel",193200,198310.96523957,1.02645427142634
"125",2024,"fyear","planned","nhse_rdel",186800,191741.657902441,1.02645427142634
"126",2024,"fyear","planned","pensions",2851,2926.42112783651,1.02645427142634
"127",2024,"fyear","planned","nics",0,0,1.02645427142634
"128",2024,"fyear","planned","adjustments",0,0,1.02645427142634
"129",2024,"fyear","planned","other_rdel",6400,6569.30733712861,1.02645427142634
"130",2024,"fyear","planned","dhsc_rdel_less_pensions",190349,195384.544111733,1.02645427142634
"131",2024,"fyear","planned","nhse_rdel_less_pensions",183949,188815.236774605,1.02645427142634
"132",2024,"fyear","planned","dhsc_tdel_less_pensions",201949,207291.413660279,1.02645427142634
"133",2025,"fyear","planned","dhsc_tdel",217000,217000,1
"134",2025,"fyear","planned","cdel",13600,13600,1
"135",2025,"fyear","planned","dhsc_rdel",203400,203400,1
"136",2025,"fyear","planned","nhse_rdel",195600,195600,1
"137",2025,"fyear","planned","pensions",4816,4816,1
"138",2025,"fyear","planned","nics",1427,1427,1
"139",2025,"fyear","planned","adjustments",-210,-210,1
"140",2025,"fyear","planned","other_rdel",7800,7800,1
"141",2025,"fyear","planned","dhsc_rdel_less_pensions",197367,197367,1
"142",2025,"fyear","planned","nhse_rdel_less_pensions",189567,189567,1
"143",2025,"fyear","planned","dhsc_tdel_less_pensions",210967,210967,1
"144",2026,"fyear","planned","dhsc_tdel",225400,221727.434402743,0.983706452541009
"145",2026,"fyear","planned","cdel",14000,13771.8903355741,0.983706452541009
"146",2026,"fyear","planned","dhsc_rdel",211400,207955.544067169,0.983706452541009
"147",2026,"fyear","planned","nhse_rdel",204900,201561.452125653,0.983706452541009
"148",2026,"fyear","planned","pensions",4816,4737.5302754375,0.983706452541009
"149",2026,"fyear","planned","nics",1427,1403.74910777602,0.983706452541009
"150",2026,"fyear","planned","adjustments",-1210,-1190.28480757462,0.983706452541009
"151",2026,"fyear","planned","other_rdel",6500,6394.09194151656,0.983706452541009
"152",2026,"fyear","planned","dhsc_rdel_less_pensions",206367,203004.54949153,0.983706452541009
"153",2026,"fyear","planned","nhse_rdel_less_pensions",199867,196610.457550014,0.983706452541009
"154",2026,"fyear","planned","dhsc_tdel_less_pensions",220367,216776.439827104,0.983706452541009
"155",2027,"fyear","planned","dhsc_tdel",235100,226652.708585859,0.964069368719096
"156",2027,"fyear","planned","cdel",13800,13304.1572883235,0.964069368719096
"157",2027,"fyear","planned","dhsc_rdel",221300,213348.551297536,0.964069368719096
"158",2027,"fyear","planned","nhse_rdel",215400,207660.542022093,0.964069368719096
"159",2027,"fyear","planned","pensions",4816,4642.95807975116,0.964069368719096
"160",2027,"fyear","planned","nics",1427,1375.72698916215,0.964069368719096
"161",2027,"fyear","planned","adjustments",-1610,-1552.15168363774,0.964069368719096
"162",2027,"fyear","planned","other_rdel",5900,5688.00927544266,0.964069368719096
"163",2027,"fyear","planned","dhsc_rdel_less_pensions",216667,208882.01791226,0.964069368719096
"164",2027,"fyear","planned","nhse_rdel_less_pensions",210767,203194.008636818,0.964069368719096
"165",2027,"fyear","planned","dhsc_tdel_less_pensions",230467,222186.175200584,0.964069368719096
"166",2028,"fyear","planned","dhsc_tdel",246000,232631.213011778,0.945655337446252
"167",2028,"fyear","planned","cdel",14800,13995.6989942045,0.945655337446252
"168",2028,"fyear","planned","dhsc_rdel",231200,218635.514017574,0.945655337446252
"169",2028,"fyear","planned","nhse_rdel",226100,213812.671796598,0.945655337446252
"170",2028,"fyear","planned","pensions",4816,4554.27610514115,0.945655337446252
"171",2028,"fyear","planned","nics",1427,1349.4501665358,0.945655337446252
"172",2028,"fyear","planned","adjustments",-1610,-1522.50509328847,0.945655337446252
"173",2028,"fyear","planned","other_rdel",5100,4822.84222097589,0.945655337446252
"174",2028,"fyear","planned","dhsc_rdel_less_pensions",226567,214254.292839185,0.945655337446252
"175",2028,"fyear","planned","nhse_rdel_less_pensions",221467,209431.450618209,0.945655337446252
"176",2028,"fyear","planned","dhsc_tdel_less_pensions",241367,228249.99183339,0.945655337446252
