sex,age,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122
Females,20,324981,335957,350294,353961,356286,362777,375823,372658,375819,380680,382086,373783,367229,366485,370113,363116,356823,353581,350293,342022,345061,330248,329950,331692,332916,333647,334072,334418,334731,335029,335330,335807,336506,337299,338180,339193,340351,341553,342696,343761,344735,345437,345774,345889,345825,345627,344899,343567,342079,340490,338875,337205,335474,333882,332521,331404,330457,329674,329117,328759,328602,328554,328582,328763,329070,329453,329880,330307,330733,331160,331555,331897,332172,332377,332492,332513,332444,332264,331977,331599,331141,330607,330015,329383,328728,328075,327441,326840,326284,325791,325359,325000,324717,324503,324364,324281,324271,324303,324363,324458,324571
Females,21,327164,338911,347730,360814,363214,364264,369485,382522,379371,382522,387389,388793,380497,373951,373212,376835,369848,363561,360322,357036,348778,351817,337006,336705,338444,339666,340394,340818,341161,341471,341767,342068,342543,343239,344032,344912,345926,347085,348286,349431,350497,351471,352175,352513,352631,352568,352372,351644,350315,348829,347241,345629,343958,342229,340637,339277,338160,337212,336429,335871,335513,335355,335307,335333,335514,335821,336203,336630,337057,337481,337909,338304,338648,338922,339129,339244,339267,339199,339020,338733,338356,337898,337366,336774,336142,335488,334836,334202,333600,333045,332551,332119,331759,331478,331263,331124,331040,331031,331062,331121,331217
Females,22,333718,343052,351986,359236,370754,371578,371057,376279,389320,386186,389330,394204,395610,387316,380766,380022,383644,376661,370366,367123,363832,355570,358601,343793,343481,345219,346442,347170,347596,347937,348248,348544,348847,349321,350018,350811,351692,352707,353867,355069,356216,357281,358258,358961,359301,359419,359356,359159,358430,357100,355613,354024,352409,350737,349006,347412,346052,344932,343984,343199,342642,342283,342124,342076,342101,342283,342590,342972,343400,343827,344252,344679,345076,345419,345693,345901,346016,346038,345971,345792,345503,345127,344669,344134,343542,342909,342255,341602,340966,340364,339809,339314,338881,338521,338240,338025,337885,337802,337792,337822,337882
Females,23,350933,355226,360486,367203,372239,381537,380131,379603,384833,397891,394769,397912,402794,404201,395903,389340,388588,392212,385224,378914,375660,372362,364082,367105,352291,351969,353706,354930,355662,356088,356431,356744,357041,357345,357820,358519,359312,360195,361212,362373,363578,364724,365791,366769,367473,367813,367930,367866,367666,366935,365602,364111,362519,360899,359223,357489,355891,354528,353405,352456,351669,351111,350751,350592,350543,350571,350751,351059,351441,351870,352298,352723,353151,353548,353892,354164,354372,354487,354509,354440,354261,353971,353593,353133,352596,352001,351368,350712,350058,349421,348816,348261,347765,347329,346969,346688,346472,346332,346249,346238,346269
Females,24,358919,369982,369357,372164,376429,379019,385858,384439,383912,389147,402224,399110,402255,407142,408550,400245,393670,392911,396538,389540,383216,379953,376646,368348,371364,356546,356213,357951,359177,359912,360337,360683,360997,361296,361600,362078,362777,363572,364456,365475,366638,367844,368990,370059,371038,371742,372083,372197,372132,371930,371197,369861,368366,366770,365147,363466,361729,360126,358760,357635,356686,355896,355337,354977,354818,354769,354796,354978,355285,355668,356098,356526,356952,357381,357778,358122,358394,358601,358717,358737,358666,358487,358196,357816,357355,356815,356219,355585,354926,354272,353633,353027,352470,351972,351536,351175,350893,350677,350538,350453,350442
Females,25,368166,373472,380031,377263,377917,380027,380472,387305,385877,385349,390591,403682,400573,403720,408610,410018,401709,395126,394363,397991,390986,384652,381385,378070,369760,372774,357951,357612,359349,360578,361313,361740,362086,362402,362700,363006,363485,364185,364981,365865,366887,368051,369257,370405,371475,372455,373159,373499,373613,373547,373344,372610,371272,369773,368177,366550,364866,363125,361521,360152,359027,358077,357284,356726,356365,356206,356156,356185,356367,356673,357059,357488,357917,358343,358772,359170,359513,359785,359993,360109,360127,360056,359877,359585,359205,358742,358201,357604,356970,356308,355653,355014,354406,353848,353350,352912,352551,352269,352052,351914,351829
Females,26,364173,383967,385567,390227,385560,384307,384514,384962,391790,390356,389831,395076,408174,405067,408215,413106,414514,406205,399618,398854,402483,395474,389136,385867,382549,374234,377249,362423,362082,363821,365050,365786,366214,366560,366877,367176,367483,367963,368663,369459,370345,371368,372531,373739,374888,375960,376939,377644,377983,378097,378031,377828,377094,375755,374255,372658,371030,369344,367603,365999,364630,363502,362553,361758,361202,360841,360681,360632,360661,360843,361151,361536,361966,362395,362821,363250,363648,363992,364265,364472,364589,364607,364537,364357,364063,363684,363221,362681,362082,361448,360785,360130,359491,358882,358324,357825,357388,357027,356744,356527,356390
Females,27,374196,380483,397016,396850,399750,393325,390312,390518,390968,397793,396358,395834,401080,414179,411070,414221,419111,420519,412211,405626,404865,408494,401484,395148,391882,388563,380251,383267,368442,368103,369843,371071,371808,372238,372584,372902,373202,373509,373990,374691,375488,376374,377396,378560,379768,380919,381990,382971,383675,384016,384129,384064,383862,383129,381790,380289,378694,377066,375381,373641,372038,370668,369543,368593,367799,367244,366883,366724,366674,366704,366887,367196,367580,368010,368440,368865,369295,369694,370039,370311,370519,370637,370655,370586,370405,370113,369734,369271,368731,368133,367499,366836,366181,365543,364934,364376,363880,363442,363081,362799,362582
Females,28,387653,390099,393372,408236,406407,407648,399570,396558,396765,397215,404039,402604,402081,407328,420421,417313,420464,425353,426761,418456,411877,411118,414746,407739,401407,398144,394829,386522,389539,374719,374383,376123,377352,378090,378520,378868,379187,379488,379796,380278,380978,381777,382661,383684,384849,386057,387209,388280,389262,389965,390308,390422,390357,390156,389425,388086,386587,384992,383366,381683,379945,378342,376975,375852,374901,374108,373556,373195,373036,372986,373017,373201,373511,373895,374326,374756,375181,375612,376012,376357,376630,376838,376956,376975,376906,376726,376434,376056,375594,375054,374457,373824,373162,372508,371871,371262,370706,370211,369773,369413,369130
Females,29,390804,402651,402277,403990,417285,413893,413579,405506,402498,402704,403156,409978,408545,408024,413269,426356,423246,426400,431286,432694,424393,417821,417065,420692,413689,407364,404105,400794,392494,395514,380700,380367,382108,383338,384076,384507,384857,385178,385480,385788,386270,386972,387770,388654,389678,390844,392052,393204,394275,395257,395961,396305,396420,396357,396157,395427,394088,392591,390999,389375,387694,385957,384356,382992,381871,380921,380129,379579,379219,379060,379011,379044,379228,379538,379923,380356,380784,381211,381642,382043,382388,382662,382869,382989,383008,382940,382760,382470,382093,381632,381093,380497,379865,379204,378552,377915,377308,376752,376258,375821,375461
Females,30,404450,404588,413835,412018,412289,424132,419299,418988,410919,407915,408124,408575,415397,413967,413449,418691,431770,428657,431812,436695,438104,429809,423245,422494,426120,419122,412806,409552,406248,397957,400981,386173,385846,387588,388818,389558,389989,390341,390662,390965,391274,391757,392458,393257,394142,395167,396333,397541,398692,399764,400747,401452,401796,401913,401851,401653,400924,399587,398093,396504,394883,393203,391469,389871,388509,387391,386443,385652,385104,384745,384588,384539,384573,384756,385068,385454,385887,386316,386742,387174,387576,387921,388195,388403,388525,388544,388477,388298,388011,387634,387174,386637,386041,385412,384751,384101,383465,382859,382305,381812,381376
Females,31,411089,417135,414875,422785,419635,418572,429072,424238,423931,415867,412868,413077,413530,420352,418927,418411,423651,436718,433602,436759,441640,443049,434761,428206,427461,431086,424094,417789,414541,411244,402965,405993,391193,390872,392615,393847,394587,395019,395370,395694,395998,396307,396790,397493,398293,399178,400202,401369,402578,403728,404801,405784,406491,406835,406953,406894,406697,405970,404635,403144,401560,399941,398264,396533,394938,393579,392464,391518,390729,390183,389825,389668,389621,389655,389839,390152,390540,390973,391402,391828,392261,392663,393009,393284,393492,393616,393635,393570,393393,393107,392731,392273,391736,391143,390515,389856,389207,388572,387968,387416,386923
Females,32,413311,422370,426204,422734,429426,425063,422790,433282,428449,428145,420086,417093,417305,417757,424581,423160,422646,427883,440937,437821,440979,445857,447268,438986,432441,431701,435324,428341,422044,418804,415514,407247,410277,395487,395172,396918,398150,398891,399323,399677,400001,400306,400615,401100,401804,402604,403488,404513,405681,406891,408041,409114,410097,410805,411151,411271,411213,411018,410293,408960,407473,405892,404276,402602,400874,399281,397927,396814,395870,395083,394540,394182,394026,393980,394016,394201,394514,394903,395336,395766,396193,396626,397029,397376,397651,397861,397986,398005,397942,397767,397481,397107,396650,396114,395523,394897,394240,393592,392959,392358,391805
Females,33,411611,423092,430151,432894,428344,433951,428510,426244,436727,431894,431594,423541,420554,420769,421221,428044,426629,426117,431350,444394,441275,444436,449311,450722,442448,435912,435177,438799,431823,425537,422304,419022,410765,413798,399017,398710,400458,401690,402431,402865,403220,403545,403851,404161,404648,405353,406152,407037,408063,409231,410442,411592,412665,413649,414358,414706,414828,414771,414579,413854,412524,411041,409463,407850,406180,404453,402865,401514,400403,399461,398677,398136,397779,397625,397579,397616,397803,398116,398506,398939,399371,399798,400232,400635,400983,401259,401470,401595,401616,401555,401380,401096,400724,400269,399734,399144,398520,397865,397219,396587,395988
